no 0.9800774268625431
0-6,6-0 0.0035342227677095674
5-6,6-5 0.002872983761655948
8-9,9-8 0.0024275545589227277
1-9,9-1 0.0023425394858172556
3-8,8-3 0.002203458149404459
2-7,7-2 0.0017888113602677017
1-5,5-1 0.0016730921394807145
4-5,5-4 0.0007304090438290407
6-9,9-6 0.0007043737191517782
7-8,8-7 0.00029369247451350213
5-9,9-5 0.0002806976801627321
3-9,9-3 0.00024656301213877636
2-3,3-2 0.00024304152790531546
6-7,7-6 0.00019500674355064324
0-3,3-0 0.0001756574972294961
3-4,4-3 2.5728485616417797e-05
0-6,6-0,5-6,6-5 1.0360165782216721e-05
0-6,6-0,8-9,9-8 8.753919187249221e-06
0-6,6-0,1-9,9-1 8.447349319672837e-06
0-6,6-0,3-8,8-3 7.945812999948455e-06
3-7,7-3 7.5473505952567175e-06
5-6,6-5,8-9,9-8 7.116095766683769e-06
1-9,9-1,5-6,6-5 6.866883900525494e-06
3-8,8-3,5-6,6-5 6.4591830290315775e-06
0-6,6-0,2-7,7-2 6.45056978491385e-06
0-6,6-0,1-5,5-1 6.033278769370096e-06
1-9,9-1,8-9,9-8 5.802237917524999e-06
3-8,8-3,8-9,9-8 5.457747244629109e-06
1-9,9-1,3-8,8-3 5.2666121868039855e-06
2-7,7-2,5-6,6-5 5.243693865255787e-06
1-5,5-1,5-6,6-5 4.904476337007255e-06
2-7,7-2,8-9,9-8 4.43070828247905e-06
1-9,9-1,2-7,7-2 4.275541022835199e-06
1-5,5-1,8-9,9-8 4.1440832523773876e-06
2-7,7-2,3-8,8-3 4.0216934514521284e-06
1-5,5-1,1-9,9-1 3.998953850708094e-06
1-5,5-1,3-8,8-3 3.761527822597602e-06
1-5,5-1,2-7,7-2 3.0536834579064804e-06
0-6,6-0,4-5,5-4 2.6339023853506415e-06
0-6,6-0,6-9,9-6 2.540017315949898e-06
4-5,5-4,5-6,6-5 2.1411097376307518e-06
5-6,6-5,6-9,9-6 2.064790190850998e-06
4-5,5-4,8-9,9-8 1.8091507422038182e-06
1-9,9-1,6-9,9-6 1.6835641804006287e-06
3-8,8-3,4-5,5-4 1.6421414430245233e-06
3-8,8-3,6-9,9-6 1.5836075489054103e-06
1-5,5-1,4-5,5-4 1.2468827424666166e-06
1-5,5-1,6-9,9-6 1.2024377875350452e-06
0-6,6-0,7-8,8-7 1.0590741115764503e-06
0-6,6-0,5-9,9-5 1.0122140403234915e-06
0-6,6-0,3-9,9-3 8.891222135025559e-07
7-8,8-7,8-9,9-8 7.274471239572195e-07
3-9,9-3,5-6,6-5 7.2277098796913e-07
2-3,3-2,5-6,6-5 7.124481637285512e-07
0-6,6-0,6-7,7-6 7.032069651066915e-07
1-9,9-1,7-8,8-7 7.019712926535421e-07
3-8,8-3,7-8,8-7 6.602938284755533e-07
2-3,3-2,8-9,9-8 6.01989753975674e-07
1-9,9-1,3-9,9-3 5.893244511569896e-07
1-9,9-1,2-3,3-2 5.809075489414446e-07
5-6,6-5,6-7,7-6 5.716397422067956e-07
2-3,3-2,3-8,8-3 5.464178855960811e-07
2-7,7-2,7-8,8-7 5.360397254701464e-07
0-3,3-0,5-6,6-5 5.149196617750958e-07
2-7,7-2,5-9,9-5 5.123219710133241e-07
1-5,5-1,7-8,8-7 5.013630118042666e-07
1-9,9-1,6-7,7-6 4.660968452567876e-07
0-3,3-0,8-9,9-8 4.35086194744311e-07
0-3,3-0,3-8,8-3 3.949218022634951e-07
0-3,3-0,2-7,7-2 3.206054113155126e-07
5-9,9-5,6-9,9-6 2.0173515225877131e-07
3-9,9-3,5-9,9-5 7.061652847453736e-08
3-4,4-3,4-5,5-4 1.9174320378355773e-08
